NO,JUDUL BERITA,ISI BERITA,KATEGORI,TANGGAL UPLOAD,TAUTAN,clean_text,Cluster
1,Jokowi Melayat dan Salatkan Jenazah Raja Keraton Surakarta PB XIII,Presiden Jokowi melayat ke Keraton Surakarta untuk memberikan penghormatan terakhir kepada Raja Pakubuwana XIII yang wafat. Presiden juga menyempatkan diri untuk melaksanakan salat jenazah di depan peti raja sebelum jenazah dimakamkan. Wafatnya PB XIII pada Minggu pagi membawa duka mendalam bagi Keraton Solo dan komunitas budaya Jawa. Wapres Gibran juga terlihat hadir melayat di waktu yang berbeda.,Budaya & Politik,2025-11-02 00:00:00,"Melayat ke Keraton Surakarta, Jokowi Salatkan Jenazah Pakubuwana XIII",presiden jokowi layat keraton surakarta beri hormat akhir raja pakubuwana xiii wafat presiden sempat diri laksana salat jenazah depan peti raja jenazah makam wafat xiii minggu pagi bawa duka dalam keraton solo komunitas budaya jawa wapres gibran lihat hadir layat waktu beda,9
2,Budi Arie Terpilih Aklamasi Jadi Ketum Projo 2025-2030,"Budi Arie Setiadi kembali terpilih secara aklamasi sebagai Ketua Umum Relawan Projo untuk periode 2025-2030 dalam Kongres III. Dalam sambutannya, Budi Arie mengajak seluruh anggota Projo untuk semakin solid. Ia menekankan pentingnya mendukung dan mengawal program prioritas pemerintahan Prabowo-Gibran. Kongres ini menunjukkan konsolidasi kuat di kalangan relawan pendukung pemerintah.",Politik,2025-11-01 00:00:00,Budi Arie Terpilih Kembali Jadi Ketum Projo 2025-2030,budi arie setiadi pilih aklamasi ketua umum rawan projo periode kongres iii sambut budi arie ajak seluruh anggota projo makin solid tekan penting dukung awal program prioritas perintah prabowo gibran kongres tunjuk konsolidasi kuat kalang rawan dukung perintah,2
3,Oknum Polisi Ditetapkan Tersangka Pembunuhan Dosen Wanita di Jambi,"Seorang oknum anggota polisi aktif di Polres Bungo telah ditetapkan sebagai tersangka pembunuhan dosen wanita berinisial B. Penyelidikan menemukan motif pembunuhan diduga kuat karena asmara, bahkan terdapat dugaan pemerkosaan. Pelaku telah ditahan dan dijerat pasal berlapis, menunjukkan tindakan tegas Polri terhadap anggotanya yang melanggar hukum. Kasus ini memicu desakan publik untuk keadilan.",Hukum & Kriminal,2025-11-02 00:00:00,Polisi Ditetapkan Jadi Tersangka Pembunuhan Dosen Wanita di Jambi,orang oknum anggota polisi aktif polres bungo tetap sangka bunuh dosen wanita inisial lidi temu motif bunuh duga kuat asmara bahkan dapat duga perkosa laku tahan jerat pasal lap tunjuk tindak tegas polri anggota langgar hukum kasus picu desa publik adil,8
4,Satu Keluarga Tewas Tertimbun Longsor di Trenggalek,"Bencana tanah longsor di Desa Depok, Trenggalek, Jawa Timur, menewaskan empat orang dari satu keluarga. Korban tewas terdiri dari pasangan suami istri dan dua anak mereka, yang rumahnya tertimbun material longsor saat hujan deras. Satu anggota keluarga lainnya berhasil ditemukan selamat dengan luka-luka. Tim SAR gabungan telah menyelesaikan evakuasi seluruh korban pada Minggu dini hari.",Bencana & Sosial,2025-11-02 00:00:00,"Rumah di Trenggalek Tertimbun Longsor, Suami Istri dan 2 Anak Tewas",bencana tanah longsor desa depok trenggalek jawa timur tewas empat orang satu keluarga korban tewas diri pasang suami istri anak rumah timbun material longsor hujan deras satu anggota keluarga lain hasil temu selamat luka luka tim sar gabung selesai evakuasi seluruh korban minggu dini hari,7
5,Artis Onadio Leonardo Positif Konsumsi Ganja dan Ekstasi,"Artis Onadio Leonardo (Onad) ditetapkan positif menggunakan narkoba jenis ganja dan ekstasi berdasarkan hasil tes urine Polres Metro Jakarta Barat. Barang bukti berupa sisa ganja ditemukan saat penangkapan di rumahnya. Istri Onad, Beby Prisilla, yang turut diamankan, dinyatakan negatif narkoba dan berstatus sebagai saksi. Pihak kepolisian masih mendalami kasus ini untuk mengetahui motif penggunaan narkoba tersebut.",Hukum & Kriminal,2025-11-01 00:00:00,Polisi: Tes Urine Onad Positif Ganja dan Ekstasi,artis onadio leonardo onad tetap positif guna narkoba jenis ganja ekstasi dasar hasil tes urine polres metro jakarta barat barang bukti upa sisa ganja temu tangkap rumah istri onad beby prisilla turut aman nyata negatif narkoba status saksi pihak polisi dalam kasus tahu motif guna narkoba sebut,4
6,Merapi Luncurkan 6 Kali Awan Panas Guguran dalam Sehari,"Gunung Merapi di perbatasan DIY dan Jawa Tengah kembali menunjukkan peningkatan aktivitas dengan meluncurkan enam kali Awan Panas Guguran (APG). BPPTKG mencatat jarak luncuran APG terjauh mencapai 2,5 kilometer ke arah barat daya. Status Merapi tetap berada di Level Siaga (Level III) karena potensi bahaya masih tinggi. Masyarakat diimbau untuk tidak melakukan kegiatan di area radius bahaya yang telah ditetapkan.",Bencana & Lingkungan,2025-11-02 00:00:00,"Merapi 6 Kali Luncurkan Awan Panas Guguran, Jarak Terjauh 2,5 Km",gunung rapi batas diy jawa tengah tunjuk tingkat aktivitas luncur enam kali awan panas gugur apg bpptkg catat jarak luncur apg jauh capai kilometer arah barat daya status rapi tetap ada level siaga level iii potensi bahaya tinggi masyarakat imbau laku giat area radius bahaya tetap,0
7,Presiden Prabowo Tiba di Halim Usai KTT APEC Korea Selatan,"Presiden Prabowo Subianto telah tiba kembali di Jakarta setelah menyelesaikan kunjungan kerja ke Korea Selatan untuk menghadiri KTT APEC. Dalam KTT, Presiden Prabowo fokus pada isu kerja sama ekonomi digital dan peningkatan peran Indonesia di kawasan. Kunjungan tersebut juga mencakup pertemuan bilateral penting dengan para pemimpin negara-negara APEC. Kepulangan ini menandai berakhirnya diplomasi ekonomi yang strategis.",Politik & Internasional,2025-11-02 00:00:00,Presiden Prabowo Tiba di Halim Perdanakusumah usai Hadiri KTT APEC Korea Selatan,presiden prabowo subianto tiba jakarta selesai kunjung kerja korea selatan hadir ktt apec ktt presiden prabowo fokus isu kerja sama ekonomi digital tingkat peran indonesia kawasan kunjung sebut cakup temu bilateral penting pimpin negara negara apec pulang tanda akhir diplomasi ekonomi strategis,1
8,R&I Pertahankan Peringkat Kredit Indonesia BBB+,Lembaga pemeringkat internasional R&I mempertahankan Peringkat Kredit Indonesia pada level 'BBB+' dengan outlook stabil. Keputusan ini mencerminkan optimisme terhadap fundamental ekonomi nasional di tengah gejolak global. Stabilitas makroekonomi dan pengelolaan fiskal yang hati-hati dinilai sebagai kunci keberhasilan. Hal ini penting untuk menjaga kepercayaan investor asing terhadap prospek pertumbuhan Indonesia.,Ekonomi & Keuangan,30 Oktober 2025,Siaran Pers: R&I Pertahankan Peringkat Kredit Indonesia pada BBB+ dengan Outlook Stabil,lembaga peringkat internasional tahan peringkat kredit indonesia level bbb outlook stabil putus cermin optimisme fundamental ekonomi nasional tengah gejolak global stabilitas makroekonomi kelola fiskal hati hati nilai kunci hasil penting jaga percaya investor asing prospek tumbuh indonesia,5
9,Kemensos Gelar Operasi Katarak Gratis untuk Lansia di Jambi,Kementerian Sosial (Kemensos) menggelar bakti sosial berupa operasi katarak gratis bagi 115 lansia di Jambi. Kegiatan ini merupakan bagian dari komitmen pemerintah untuk meningkatkan kualitas hidup dan kesehatan masyarakat rentan. Mensos menegaskan bahwa program ini akan terus diperluas ke berbagai daerah lainnya. Inisiatif ini disambut antusias oleh para lansia yang membutuhkan penanganan medis.,Sosial & Kesehatan,2025-11-02 00:00:00,Kemensos Gelar Operasi Katarak Gratis untuk 115 Lansia di Jambi,menteri sosial kemensos gelar bakti sosial upa operasi katarak gratis lansia jambi giat rupa bagi komitmen perintah tingkat kualitas hidup sehat masyarakat rentan mensos tegas program terus luas bagai daerah lain inisiatif sambut antusias lansia butuh tangan medis,2
10,Dirut Bulog Pastikan Kualitas Beras Bansos Terjamin dari Petani,Direktur Utama Bulog menjamin bahwa beras yang disalurkan dalam program bantuan sosial (bansos) pangan memiliki kualitas premium. Beras tersebut dipastikan bersumber langsung dari hasil panen petani di berbagai daerah di Indonesia. Jaminan ini diberikan untuk menghilangkan kekhawatiran masyarakat terhadap kualitas bantuan. Langkah ini juga bertujuan untuk menjaga stabilitas pasokan pangan nasional.,Ekonomi & Pangan,31 Oktober 2025,Dirut Bulog pastikan kualitas beras terjamin dari petani Indonesia,direktur utama bulog jamin beras salur program bantu sosial bansos pangan milik kualitas premium beras sebut pasti sumber langsung hasil panen tani bagai daerah indonesia jamin beri hilang khawatir masyarakat kualitas bantu langkah tuju jaga stabilitas pasok pangan nasional,7
